totalPopulation: 10000,numberOfPublicPlaces: 100,publicPlaceOccupancyRate: 0.5,seedPopulationPercentage: 0.05,indoorInfectionRate: 0.5
Day #,Category 0,Category 1,Category 2,Category 3,Category 4
0,9519,482,0,0,0
1,9519,482,0,0,0
2,9519,445,37,0,0
3,9519,357,125,0,0
4,9519,337,143,2,0
5,9519,282,184,16,0
6,9519,273,180,28,1
7,9519,250,182,43,7
8,9519,251,166,51,14
9,9519,262,142,53,25
10,9518,298,109,42,34
11,9516,343,76,26,40
12,9513,403,33,9,43
13,9513,434,8,2,44
14,9513,441,1,1,45
15,9512,442,1,1,45
16,9512,442,1,1,45
17,9512,442,1,1,45
18,9512,442,1,1,45
19,9512,442,1,1,45
20,9512,442,1,1,45
21,9511,443,1,1,45
22,9511,443,1,1,45
23,9511,442,2,1,45
24,9511,443,1,1,45
25,9511,444,0,1,45
26,9511,444,0,1,45
27,9511,444,0,1,45
28,9511,444,0,1,45
29,9511,444,0,1,45
30,9511,444,0,1,45
31,9511,444,0,1,45
32,9511,444,0,1,45
33,9511,444,0,1,45
34,9511,444,0,1,45
35,9511,444,0,1,45
36,9511,444,0,1,45
37,9511,444,0,1,45
38,9511,444,0,1,45
39,9511,444,0,1,45
40,9511,444,0,1,45
41,9511,444,0,1,45
42,9511,444,0,1,45
43,9511,444,0,1,45
44,9511,444,0,1,45
45,9511,444,0,1,45
46,9511,444,0,1,45
47,9511,444,0,1,45
48,9511,444,0,1,45
49,9511,444,0,1,45
50,9511,444,0,1,45
